BR 11 2024 024666 3,14/06/2023,PROCESSOS PARA A RECUPERAÇÃO DE ETANOL SUBSTANCIALMENTE SECO E PARA A PRODUÇÃO DE ACETATO DE ETILA,C07C 29/80
BR 11 2024 025771 1,08/06/2023,PRODUÇÃO INTENSIFICADA DE ETILENO A PARTIR DE ETANOL,C07C 1/24
BR 10 2023 007112 0,17/04/2023,"MÉTODO DE MARCAÇÃO E ANÁLISE DE ETANOL ANIDRO POR PONTOS DE CARBONO, PONTOS DE CARBONO, SEU PROCESSO DE PRODUÇÃO E SEUS USOS",C01B 32/15
BR 11 2024 019578 3,31/03/2023,"SISTEMA DE BIORREATOR, BIORREATOR, USINA DE ETANOL DE MILHO, PROCESSO PARA PRODUZIR UM ÁLCOOL EM UMA BIORREFINARIA E MÉTODOS",C12M 1/00
BR 11 2024 015660 5,22/02/2023,"SOLUÇÕES ANTIMICROBIANAS COMPREENDENDO EDTA TETRASSÓDICO, ETANOL E CLOREXIDINA E LENÇOS DE DESINFECÇÃO COMPREENDENDO AS REFERIDAS SOLUÇÕES",A61L 2/18
BR 11 2024 015764 4,30/01/2023,MÉTODO PARA PRODUZIR ETANOL E MÉTODO PARA PURIFICAR UMA CULTURA DE LEVEDURA,C12P 7/06
BR 11 2024 014729 0,30/01/2023,"MÉTODOS PARA CONVERTER ETANOL, PARA PRODUZIR HIDROCARBONETOS, E PARA PRODUZIR UM COMPOSTO AROMÁTICO, BEM COMO APARELHO PARA CONVERTER ETANOL",C07C 1/20
BR 11 2024 013845 3,04/01/2023,CATALISADOR ZSM-5 MODIFICADO COM METAL IMPREGNADO DE NI PARA DESIDRATAÇÃO DE ETANOL AQUOSO EM ETILENO E SEU PROCESSO,C07C 1/24
BR 20 2023 000063 6,03/01/2023,SISTEMA ARMAZENAMENTO DE ENERGIA A AR-COMPRIMIDO ENRIQUECIDO COM ETANOL,F02C 6/16
BR 11 2024 012845 8,21/12/2022,COMPOSIÇÕES DE FRAGRÂNCIAS INCLUINDO ETANOL FERMENTADO A GÁS E MÉTODOS DE PREPARAÇÃO,A61K 8/34
BR 11 2024 011907 6,16/12/2022,PROCESSO PARA PRODUZIR UM HIDROLISADO DE AMIDO SOLÚVEL E PROCESSO DE FERMENTAÇÃO DE ETANOL,C12P 7/10
BR 10 2022 024012 4,24/11/2022,"PROCESSO PARA PRODUZIR ETANOL EM ESCALA INDUSTRIAL, SISTEMA PARA REALIZAR O DITO PROCESSO E USO DE FONTE DE CARBONO COMPREENDENDO SACAROSE HIDROLISADA",C12P 7/02
BR 11 2024 009132 5,07/11/2022,MÉTODO PARA PRODUZIR ETANOL POR FERMENTAÇÃO PROPENSA À CONTAMINAÇÃO PROCARIÓTICA E MÉTODO PARA PURIFICAR UMA CULTURA DE LEVEDURA PROPENSA À CONTAMINAÇÃO PROCARIÓTICA,C12P 7/06
BR 11 2024 008664 0,04/11/2022,PROCESSO PARA A PRODUÇÃO DE ETANOL E CÉLULA DE LEVEDURA RECOMBINANTE,C12P 7/06
BR 11 2024 008855 3,03/11/2022,CHASSIS DE FRAGRÂNCIA SEM ETANOL,A61K 8/06
BR 11 2024 007912 0,28/10/2022,"MÉTODO PARA DESACETILAÇÃO DE BIOMASSA LIGNOCELULÓSICA, MÉTODO PARA TRATAR BIOMASSA LIGNOCELULÓSICA PARA PRODUÇÃO DE ETANOL E MÉTODO PARA ATUALIZAR MONÔMEROS DE LIGNINA RESULTANTES DE DESACETILAÇÃO E REFINO MECÂNICO DE UMA BIOMASSA LIGNOCELULÓSICA",C08B 1/08
BR 11 2024 006893 5,26/10/2022,"MÉTODOS PARA AUMENTAR O RENDIMENTO DE ETANOL E PARA MITIGAR O ESTRESSE TÉRMICO E/OU POR ETANOL EM LEVEDURAS DURANTE A PRODUÇÃO DE ETANOL, E, ADITIVO PARA AUMENTAR O RENDIMENTO DE ETANOL",C12P 7/06
BR 10 2022 021809 9,26/10/2022,PROCESSO PARA PRODUÇÃO DE OLEFINAS LEVES (ETENO E PROPENO) E AROMÁTICOS A PARTIR DO METANOL E ETANOL UTILIZANDO CO2 COMO GÁS AUXILIAR,B01J 29/40
BR 20 2022 020030 6,03/10/2022,DISPOSITIVO DE ESCANEAMENTO DO FLUXO DE ENTRADA DE COMBUSTÍVEL E DA QUANTIDADE DE ETANOL NA MISTURA,G01N 27/22
BR 10 2022 019874 8,30/09/2022,PLASTIFICANTES VERDES PRODUZIDOS A PARTIR DO ÓLEO FUSEL ORIGINADO NOS PROCESSOS DE PRODUÇÃO DE ETANOL DE MILHO E CANA DE AÇÚCAR,C08K 5/00
BR 10 2022 017354 0,30/08/2022,"PROCESSO DE OBTENÇÃO DE POLIHIDROXIALCANOATO (PHA) BIODEGRADÁVEL POR PROCESSO BIOTECNOLOGICO, USANDO BATELADA SIMPLES E RESÍDUO DE ETANOL DE MILHO COMO FONTE DE CARBONO NO ACÚMULO",
BR 10 2022 017355 9,30/08/2022,"PROCESSO DE OBTENÇÃO DE POLIHIDROXIALCANOATO (PHA) BIODEGRADÁVEL POR PROCESSO BIOTECNOLOGICO, USANDO BATELADA ALIMENTADA E UTILIZAÇÃO DE RESÍDUO DE ETANOL DE MILHO COMO FONTE DE CARBONO NO ACÚMULO",C12P 7/62
BR 11 2024 003634 0,23/08/2022,REMOÇÃO DE OXIGÊNIO DE UMA CORRENTE DE PRODUTO DE ODH DE ETANO USANDO ETANOL,C07C 5/48
BR 10 2022 015645 0,08/08/2022,MARCADOR LUMINESCENTE PARA DETECÇÃO DE ADULTERAÇÃO EM ETANOL COMBUSTÍVEL E GASOLINA E PROCESSO DE OBTENÇÃO,G01N 21/17
BR 11 2024 002007 0,01/08/2022,PROCESSO E APARELHO PARA PRODUÇÃO DE ETANOL POR FERMENTAÇÃO ANAERÓBICA DE UM GÁS DE SÍNTESE,C10J 3/00
BR 11 2024 001442 8,27/07/2022,MODALIDADES DE MÉTODO E SISTEMA PARA CONVERTER ETANOL EM PARA-XILENO E ORTO-XILENO,C07C 1/207
BR 11 2024 000754 5,12/07/2022,CEPA DE SACCHAROMYCES CEREVISIA QUE EXIBEM UM CAPACIDADE AUMENTADA PARA FERMENTAR OLIGOSACARÌDEOS EM ETANOL SEM GLUCOAMILASE SUPLEMENTAR E PRICESSOS PARA PRUDUZIR E USAR AS MESMAS,C12N 9/34
BR 10 2022 013590 8,07/07/2022,"PROCESSO DE PRODUÇÃO DE BIODIESEL A BASE DE ETANOL, DE PRODUÇÃO DE GLICERINA 96% E DE PRODUÇÃO DE SOLUÇÃO FERTILIZANTE E RECUPERAÇÃO DE ÁCIDO GRAXO",C12P 7/64
BR 11 2024 003811 4,04/07/2022,"MÉTODO PARA PRODUZIR A PARTIR DE ETANOL UM COMBUSTÍVEL PARA MOTOR SELECIONADO DENTRE GASOLINA, QUEROSENE E DIESEL",C10G 3/00
BR 10 2022 013228 3,01/07/2022,MÉTODO DE FABRICAÇÃO DE ETANOL A PARTIR DE SEMENTES DE SERINGUEIRA (HEVEA BRASILIENSIS),C12P 7/10
BR 10 2022 012723 9,24/06/2022,SISTEMA CATALÍTICO E PROCESSO PARA OBTENÇÃO DE PROPENO A PARTIR DO ETANOL EM UMA ÚNICA ETAPA REACIONAL,B01J 21/06
BR 10 2022 010964 8,03/06/2022,MÉTODO E SISTEMA DE PRODUÇÃO DE ETANOL,C12P 7/06
BR 20 2022 010529 0,30/05/2022,DISPOSIÇÃO INTRODUZIDA EM LAREIRA A ETANOL,F24B 1/18
BR 10 2022 010331 3,26/05/2022,APERFEIÇOAMENTO EM MÓDULO HÍBRIDO PARA CONVERSÃO DE ETANOL EM ENERGIA ELÉTRICA PARA USO EM VEÍCULOS AÉREOS NÃO TRIPULADOS,H02N 3/00
BR 11 2023 022661 9,29/04/2022,"COMPOSIÇÃO DE COMBUSTÍVEL RICA EM COMPOSTOS AROMÁTICOS, PARAFINAS E ETANOL E USO DA MESMA EM PARTICULAR EM VEÍCULOS AUTOMOTIVOS DE COMPETIÇÃO",C10L 1/02
BR 11 2023 019832 1,31/03/2022,"PROCESSO ADIABATICAMENTE CONDUZIDO PARA A PRODUÇÃO DE 1,3-BUTADIENO A PARTIR DE MISTURAS DE ETANOL E ACETALDEÍDO",C07C 1/207
BR 11 2023 019743 0,31/03/2022,"USO DE SISTEMA CATALISADOR NA PRODUÇÃO DE 1,3-BUTADIENO A PARTIR DE ETANOL EM DOIS ESTÁGIOS",B01J 21/06
BR 11 2023 019552 7,31/03/2022,"PROCESSO ADIABATICAMENTE CONDUZIDO PARA A PRODUÇÃO DE 1,3-BUTADIENO A PARTIR DE MISTURAS DE ETANOL E ACETALDEÍDO COM REGENERAÇÃO DE CATALISADOR",B01J 23/22
BR 11 2023 019602 7,25/03/2022,SISTEMA DE REFORMA DE ETANOL PARA GERAÇÃO DE HIDROGÊNIO E UM MÉTODO DE GERAÇÃO DE HIDROGÊNIO ATRAVÉS DE UM SISTEMA DE REFORMA DE ETANOL,F02M 26/36
BR 10 2022 000259 2,07/01/2022,"PROCESSO INTEGRADO PARA VALORIZAÇÃO DE COPRODUTOS DA PRODUÇÃO DE ETANOL DE MILHO, USO DE GRÃOS SECOS DE DESTILARIA COM SOLÚVEIS (GSDS) E USO DO BIOCATALISADOR RECUPERADO",C12P 7/6436
BR 10 2021 024797 5,08/12/2021,"MÉTODO COLORIMÉTRICO QUANTITATIVO E KIT PORTÁTIL PARA DETECÇÃO DO TEOR (%) DE METANOL EM ETANOL, GASOLINA, BEBIDAS ALCOÓLICAS DESTILADAS E VINAGRE",G01N 21/79
BR 10 2021 024153 5,30/11/2021,SISTEMA DE ALIMENTAÇÃO DE ETANOL E BIODIESEL PARA MOTOR CICLO DIESEL,F02D 19/08
BR 11 2023 007485 1,21/10/2021,INSTALAÇÃO INTEGRADA DE ETANOL E PRÉ-TRATAMENTO,C07C 29/00
BR 10 2021 020580 6,14/10/2021,ETANOL GLICERINADO COMO BIOCOMBUSTÍVEL PARA MOTORES BICOMBUSTÍVEIS DE IGNIÇÃO POR FAÍSCA,C10L 1/02
BR 10 2021 018172 9,13/09/2021,"MÉTODO DE PREPARO DO CATALISADOR PARA PRODUÇÃO DE BUTADIENO A PARTIR DO ETANOL EM UMA ETAPA, CATALISADOR E USO",B01J 21/06
BR 11 2023 005367 6,13/09/2021,PROCESSO DE DESIDROGENAÇÃO DE ETANOL EM ACETALDEÍDO EM REATOR MULTITUBULAR E PROCESSO DE PRODUÇÃO DE BUTADIENO,C07C 45/00
BR 11 2023 003772 7,03/09/2021,"MÉTODO DE PRODUÇÃO DE UM PRODUTO DE FERMENTAÇÃO A PARTIR DE UM MATERIAL CONTENDO PRODUTO CELULÓSICO E/OU CONTENDO AMIDO, CEPA DE LEVEDURA SACCHAROMYCES RECOMBINANTE, MÉTODO DE PRODUÇÃO DE UM DERIVADO DA CEPA DE SACCHAROMYCESCEREVISIAE, MÉTODO DE PRODUÇÃO DE UM DERIVADO RECOMBINANTE DA CEPA DE SACCHAROMYCES CEREVISIAE, MÉTODO DE PRODUÇÃO DE ETANOL, E, COMPOSIÇÃO",C12P 7/10
BR 20 2021 016575 3,20/08/2021,QUEIMADOR PARA LAREIRA MOVIDO A GASES DO ETANOL LIQUIDO,F23D 1/00
BR 11 2023 002587 7,11/08/2021,MÉTODOS DE PRODUÇÃO DE ETANOL,C07C 29/76
BR 11 2023 001299 6,27/07/2021,"MÉTODOS PARA REMOÇÃO DE ACETATO DE ETILA DE UMA COMPOSIÇÃO ALCOÓLICA OU PARA REMOVER SELETIVAMENTE ACETATO DE ETILA DE UMA COMPOSIÇÃO ALCOÓLICA, APARELHO PARA REMOÇÃO DE ACETATO DE ETILA DE UMA COMPOSIÇÃO ALCOÓLICA, E BEBIDAS ORGANOLEPTICAMENTE APERFEIÇOADAS DERIVADAS DE UMA COMPOSIÇÃO ALCOÓLICA OU DE UMA COMPOSIÇÃO CONTENDO ETANOL",C12H 1/00
BR 20 2021 013864 0,14/07/2021,"MÉTODO DE ELETROESTIMULAÇÃO POR CORRENTE ALTERNADA APLICADO A BIOPROCESSOS PARA O AUMENTO E MELHORIA DAS CARACTERÍSTICAS FUNCIONAIS DA PRODUÇÃO DE BIOATIVOS, ETANOL E/OU BEBIDAS",C25B 3/00
BR 10 2021 013568 9,09/07/2021,"CÉLULA HOSPEDEIRA BACTERIANA RECOMBINANTE, PROCESSO PARA A CONVERSÃO DE UMA BIOMASSA EM ETANOL, COMBINAÇÃO E COMPOSIÇÃO",C12N 1/21
BR 10 2021 013081 4,01/07/2021,PROCESSO DE PENEIRAMENTO POR SUCÇÃO EM CAMADAS NO LEITO DE ZEÓLITOS DE DESIDRATAÇÃO DE ETANOL,B01J 8/00
BR 11 2022 020757 3,20/04/2021,MÉTODOS PARA LAVAR SUPERFÍCIES INTERNAS DE UMA INSTALAÇÃO DE MOAGEM A SECO DE ETANOL,C12N 15/82
BR 13 2021 005869 1,25/03/2021,MÉTODO PARA PRODUÇÃO CONTÍNUA DE ETANOL DE SEGUNDA GERAÇÃO EM PROCESSO DE SACARIFICAÇÃO E CO-FERMENTAÇÃO SIMULTÂNEA,C12P 7/10
BR 10 2021 005846 3,25/03/2021,SISTEMA REFORMADOR DE ETANOL PARA GERAÇÃO DE HIDROGÊNIO E PROCESSO PARA GERAÇÃO DE HIDROGÊNIO ATRAVÉS DE UM SISTEMA REFORMADOR DE ETANOL,F02M 27/02
BR 11 2022 019190 1,24/03/2021,MÉTODO DE PRODUÇÃO DE GLICOSE E MÉTODO DE PRODUÇÃO DE ETANOL,C12P 19/02
BR 11 2022 018538 3,16/03/2021,MÉTODO DE APERFEIÇOAMENTO DA FERMENTAÇÃO DE ETANOL,C12N 1/14
BR 11 2022 013249 2,04/03/2021,"MÉTODO PARA RECUPERAR ETANOL DE UM CALDO DE FERMENTAÇÃO, E, APARELHO PARA SEPARAR ETANOL DE UM CALDO DE FERMENTAÇÃO",C12P 7/06
BR 11 2022 015849 1,22/02/2021,PRODUÇÃO DE ETANOL COM UM OU MAIS COPRODUTOS EM LEVEDURA,C12P 7/02
BR 11 2022 015072 5,03/02/2021,"MÉTODO DE RECUPERAÇÃO DE PROTEÍNA DE RESÍDUO DE GRÃOS, PROCESSO DE PRODUÇÃO DE ETANOL, GRÃO SECO DE DESTILADOR, PRODUTO NUTRICIONAL, E, RAÇÃO PARA GADO OU FERTILIZANTE",A23J 1/00
BR 11 2022 013472 0,07/01/2021,MÉTODOS PARA PRODUZIR ETANOL E COMPOSIÇÃO DE PROTEASE,C12P 7/10
BR 11 2022 012615 8,18/12/2020,"MÉTODO DE FERMENTAÇÃO, MICRO-ORGANISMO MANIPULADO CAPAZ DE FERMENTAR UM MEIO, MISTURA, E, MÉTODO DE FERMENTAÇÃO PARA PRODUZIR PELO MENOS CERCA DE 10 G/L DE ETANOL E UM OU MAIS POLIPEPTÍDEOS HETERÓLOGOS",C12P 7/06
BR 10 2020 025462 6,14/12/2020,DISPOSITIVO E PROCESSO DE CONVERSÃO DE COMPOSTOS AROMÁTICOS POR ALQUILAÇÃO DE BENZENO POR ETANOL,C07C 7/00
BR 11 2022 012602 6,09/12/2020,MÉTODO DE CONSTRUÇÃO DE FUNGOS GENETICAMENTE MODIFICADOS DE FUNGOS FILAMENTOSOS E MÉTODO DE PRODUÇÃO DE ETANOL,C12N 1/15
BR 11 2022 010191 0,26/11/2020,MÉTODO PARA A REDUÇÃO DE PERDA DE AROMA DURANTE A PRODUÇÃO DE BEBIDAS COM REDUÇÃO DE ETANOL E SEM ETANOL,C12C 12/04
BR 10 2020 023617 2,19/11/2020,"PROCESSO DE OBTENÇÃO DE ETANOL DE SEGUNDA GERAÇÃO PELA UTILIZAÇÃO DA 2-HIDRÓXI-1,4-NAFTOQUINONA E USO",C12P 7/06
BR 11 2022 007870 6,09/11/2020,PROCESSO PARA PRODUZIR ETANOL,C12N 15/81
BR 10 2020 022448 4,03/11/2020,ETANOL GLICERINADO COMO BIOCOMBUSTÍVEL PARA MOTORES BICOMBUSTÍVEIS DE IGNIÇÃO POR FAÍSCA.,F02P 15/02
BR 13 2020 022348 7,31/10/2020,PROCESSO SSCF MELHORADO PARA PRODUÇÃO DE ETANOL DE SEGUNDA GERAÇÃO A PARTIR DE BIOMASSA LIGNOCELULÓSICA E BIOMASSA RESIDUAL 2G,C12P 7/10
BR 10 2020 021819 0,23/10/2020,"CATALISADOR, PROCESSO DE OBTENÇÃO E PROCESSO DE PRODUÇÃO DE 1,3-BUTADIENO A PARTIR DE ETANOL",C07C 11/167
BR 10 2020 020969 8,13/10/2020,OBTENÇÃO DE ETANOL COMBUSTÍVEL A PARTIR DO CALDO EXTRAÍDO DOS COLMOS DE SORGO SACARINO (SORGHUM BICOLOR (L.) MOENCH),C12P 7/10
BR 10 2020 019552 2,25/09/2020,OBTENÇÃO DE ETANOL COMBUSTÍVEL A PARTIR DO CALDO EXTRAÍDO DE VAGENS DE ALGAROBA (PROSOPIS JULIFLORA SW DC),C10L 1/02
BR 10 2020 017929 2,02/09/2020,PROCESSO PARA A PRODUÇÃO DE ETANOL SEGUNDA GERAÇÃO,C12P 7/14
BR 11 2022 003585 3,20/08/2020,EXPRESSÃO DE BETA-GLICOSIDASE EM LEVEDURAS PARA PRODUÇÃO APRIMORADA DE ETANOL,C12P 7/06
BR 11 2022 001828 2,31/07/2020,SUPEREXPRESSÃO DE PHO13 PARA PRODUÇÃO DE ETANOL AUMENTADA POR LEVEDURA,C12N 1/19
BR 11 2022 001859 2,30/07/2020,SUPEREXPRESSÃO DE ADH5P PARA PRODUÇÃO DE ETANOL AUMENTADA POR LEVEDURA,C12N 1/18
BR 11 2021 026477 9,24/07/2020,"CÉLULA HOSPEDEIRA RECOMBINANTE, MÉTODOS DE PRODUÇÃO DE UM PRODUTO DE FERMENTAÇÃO A PARTIR DE UM MATERIAL CONTENDO AMIDO OU CONTENDO CELULOSE, DE PRODUÇÃO DO POLIPEPTÍDEO MADURO, DE PRODUÇÃO DE UM DERIVADO DE UMA CÉLULA HOSPEDEIRA RECOMBINANTE E DE PRODUÇÃO DE ETANOL, CONSTRUTO DE ÁCIDO NUCLEICO OU VETOR DE EXPRESSÃO, COMPOSIÇÃO, E, USO DE UMA CÉLULA HOSPEDEIRA RECOMBINANTE",C12N 9/26
BR 11 2021 026761 1,16/07/2020,"CÉLULA DE LEVEDURA, COMPOSIÇÃO, E, MÉTODOS DE PRODUÇÃO DE UM DERIVADO DE UMA ESTIRPE DE LEVEDURA, DE PRODUÇÃO DE ETANOL E DE PRODUÇÃO DE UM PRODUTO DE FERMENTAÇÃO A PARTIR DE UM MATERIAL CONTENDO AMIDO OU CONTENDO CELULOSE",C07K 14/705
BR 10 2020 013587 2,02/07/2020,SISTEMA E MÉTODO PARA CAPTURAR CALOR EM UMA PLANTA DE DESTILAÇÃO DE ETANOL,B01D 3/00
BR 10 2020 012982 1,25/06/2020,PROCESSO DE DUAS ETAPAS PARA PRODUÇÃO DE ETANOL A PARTIR DE UMA BIOMASSA LIGNOCELULÓSICA,C12P 7/10
BR 10 2020 012497 8,19/06/2020,"DISPOSITIVO SENSOR PARA VAPORES DE ETANOL E METANOL PREPARADOS COM TINTAS CONDUTORAS AQUOSAS DE POLI(3,4-ETILENODIOXITIOFENO) (PEDOT), POLI(ESTIRENO SULFONATO) (PSS) E ÓXIDO DE GRAFENO (GO)",C09D 11/52
BR 11 2021 024972 9,08/06/2020,MÉTODO PARA PRODUÇÃO DE ETANOL A PARTIR DE FIBRAS DE MILHO,C12P 7/00
BR 10 2020 010043 2,19/05/2020,"MÉTODO QUANTITATIVO PARA DETECÇÃO DO TEOR (%) DE METANOL EM ETANOL COMBUSTÍVEL, GASOLINA E BEBIDA ALCOÓLICA DESTILADA INCOLOR E NÃO AÇUCARADA",G01N 21/78
BR 10 2020 009107 7,07/05/2020,SISTEMA INTEGRADO PARA PRODUÇÃO DE ETANOL POR FERMENTAÇÃO EXTRATIVA COM ARRASTE GASOSO E RECUPERAÇÃO POR ABSORÇÃO E USO DO MESMO,C12P 7/06
BR 11 2021 020814 3,06/04/2020,"PROCESSO DE PURIFICAÇÃO DE UMA CARGA HIDROALCOÓLICA COMPREENDENDO ETANOL, ACETALDEÍDO",B01D 11/00
BR 11 2021 018135 0,13/03/2020,SUPEREXPRESSÃO DO CITOCROMO B2 EM LEVEDURA PARA PRODUÇÃO AUMENTADA DE ETANOL,C07K 14/395
BR 11 2021 015484 1,14/02/2020,"MÉTODO DE PROCESSAMENTO DE RESÍDUO DE GRÃOS, PROCESSO DE PRODUÇÃO DE ETANOL, GRÃO SECO DE DESTILADOR, PRODUTO NUTRICIONAL, E, RAÇÃO PARA GADO OU FERTILIZANTE",A23K 20/147
BR 10 2020 002743 3,10/02/2020,USO DE CONDUTIVIDADE COMO UMA MEDIDA PROXY PARA SÓLIDOS SECOS EM CORRENTES DE EVAPORADOR DE VINHAÇA DE ETANOL,B01D 1/00
BR 11 2021 015931 2,10/02/2020,"CATALISADOR PARA A CONVERSÃO DE ETANOL EM 1,3-BUTADIENO, PRECURSOR DE CATALISADOR, PROCESSO PARA A PRODUÇÃO DE 1,3-BUTADIENO, USO DE UM CATALISADOR E USO DE UM PRECURSOR DE CATALISADOR",B01J 23/00
BR 10 2020 000408 5,08/01/2020,PROCESSO CONTÍNUO DE PRODUÇÃO DE ETANOL A PARTIR DE RESÍDUOS LIGNOCELULÓSICOS,C12J 1/10
BR 11 2021 013257 0,07/01/2020,LEVEDURA HÍBRIDA COM PRODUÇÃO DE ETANOL AUMENTADA,C12R 1/865
BR 11 2021 012497 7,24/12/2019,LEVEDURA RECOMBINANTE E MÉTODO PARA PRODUZIR ETANOL USANDO A MESMA,C12P 7/10
BR 11 2021 011508 0,13/12/2019,PROCESSO DE PRODUÇÃO DE BUTADIENO A PARTIR DE ETANOL COM REGENERAÇÃO IN SITU DO CATALISADOR DA SEGUNDA ETAPA REACIONAL,C07C 45/00
BR 11 2021 011120 4,13/12/2019,MÉTODO DE PRODUÇÃO DE BUTADIENO A PARTIR DO ETANOL COM REGENERAÇÃO IN SITU OTIMIZADA DO CATALISADOR DA SEGUNDA ETAPA DA REAÇÃO,C07C 1/207
BR 10 2019 025386 0,29/11/2019,KIT DE ANÁLISE QUÍMICA PARA ETANOL EM MATRIZES COMPLEXAS E USO DO MESMO,G01N 33/14
BR 10 2019 025173 5,28/11/2019,NITRATOS DE ÉTERES DE GLICEROL E ETANOL COMO MELHORADORES DE CETANO DO DIESEL E PROCESSO DE PRODUÇÃO DOS MESMOS,C10L 1/23
BR 11 2021 010716 9,27/11/2019,MÉTODO DE DESIDRATAÇÃO DE ETANOL EM ETILENO DE BAIXO CONSUMO DE ENERGIA,C07C 1/24
BR 11 2021 009702 3,26/11/2019,PRODUÇÃO DE ETANOL E COPRODUTOS APRIMORADOS USANDO-SE COPRODUTOS COMO MATÉRIA-PRIMA,A23K 10/38
