id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BR-PI0714634-B1,composição cosmética fotoestável. ,Unilever Nv,"Gaurav Kumar, Prasun Bandyopadhyay",2006-08-24,2007-08-14,2016-01-12,,https://patents.google.com/patent/BRPI0714634B1/pt,
BR-PI0913086-B1,"composição antimicrobiana, método para desinfectar um instrumento cirúrgico e aplicador ",Zurex Pharma Inc,"Steczko Janusz, R Ash Stephen",2008-05-23,2009-05-22,2019-01-02,,https://patents.google.com/patent/BRPI0913086B1/pt,
BR-112019013019-A2,aglutinantes de resina fenólica do tipo éter benzílico que incluem fenol livre e álcoois hidroxibenzílicos livres ,Ask Chemicals Gmbh,"Weaver Brian, Priebe Christian, Stancliff Mark, Schneider Philipp",2016-12-23,2017-12-22,2019-12-17,,https://patents.google.com/patent/BR112019013019A2/pt,
BR-PI0712748-A2,"embalagem retornável, produto alimentìcio embalado, e, composição curável por radiação ",Henkel Corp,Alexander P Mgaya,2006-06-05,2007-05-15,2012-09-11,,https://patents.google.com/patent/BRPI0712748A2/pt,
BR-112019024258-A2,Microorganismos yarrowia lipolytica recombinante e método para produzir um c6-c24 álcool graxo mono- ou poliinsaturado a partir de uma fonte endógena ou exógena de c6-c24 ácidograxo saturado ,"Provivi, Inc.","Micah SHEPPARD, Thomas Heel, Peter Meinhold, Keith Wampler, Pedro Coelho, Effendi Leonard",2017-05-17,2018-05-17,2020-08-18,,https://patents.google.com/patent/BR112019024258A2/pt,
BR-PI0621364-A2,aprimoramento de eficiência energética em sistemas hidráulicos ,Evonik Rohmax Additives Gmbh,"Douglas Placek, Christian Daniel Georges Neveu, Steven Neill Herzog",2006-02-21,2006-11-21,2011-12-06,,https://patents.google.com/patent/BRPI0621364A2/pt,
BR-112019016058-A2,Métodos para intensificar a infiltração de água no solo e utilizações de uma composição ,Basf Se,"Edward Mainwaring David, Murugaraj Pandiyan, Davies Rohan, Klingelhoefer Paul, Wissemeier Alexander",2017-02-03,2018-02-02,2020-03-31,,https://patents.google.com/patent/BR112019016058A2/pt,
BR-112020014911-A2,Regime de dosagem de canabinoide para dermatite e condições de pele inflamatórias ,Botanix Pharmaceuticals Ltd,"Matthew Callahan, Michael Thurn",2018-01-24,2019-01-24,2020-12-08,,https://patents.google.com/patent/BR112020014911A2/pt,
BR-112020005956-B1,"Promotor de crescimento vegetal, método para produzir um promotor de crescimento vegetal, e método para cultivar uma planta ",Kao Corporation,"Akihiro Tanoue, Yumi Mochizuki",2017-10-17,2018-10-16,2023-12-05,,https://patents.google.com/patent/BR112020005956B1/pt,
BR-112013026744-B1,"Compostos heterocíclicos, seus usos e seus intermediários, e composição farmacêutica ",Origenis Gmbh,"Michael Almstetter, Michael Thormann, Andreas Treml, Roland Koestler, Nasser Yehia",2011-04-21,2012-04-23,2022-05-17,,https://patents.google.com/patent/BR112013026744B1/pt,https://patentimages.storage.googleapis.com/16/c2/09/26d128124dac82/img0038.png
BR-112020005108-A2,"bactéria wood-ljungdahl de ocorrência não natural, e, método de produção de um produto ","Lanzatech, Inc.",James Daniell,2017-09-28,2018-09-28,2020-09-15,,https://patents.google.com/patent/BR112020005108A2/pt,
BR-PI0620158-A2,análogos de rifamicina e seus usos ,Activbiotics Pharma Llc,"John H V Duzer, Arthur F Michaelis, William B Geiss, Douglas G Stafford, Joseph Raker, Xiang Y Yu, James M Siedlecki, Yingfei Yang",2005-12-14,2006-12-14,2012-04-24,,https://patents.google.com/patent/BRPI0620158A2/pt,
BR-112012008173-B1,"Anticorpo monoclonal humano recombinante, sintético ou isolado ou uma parte funcional do mesmo que se liga especificamente à proteína f do vírus sincicial respiratório, sequência de ácido nucleico isolada ou um equivalente funcional da mesma, vetor, combinação, composição farmacêutica, usos dos mesmos e método para produzir um anticorpo ou parte funcional do mesmo ",Medimmune Ltd,"Tim Beaumont, Adrianus Quirinus Bakker, Etsuko Yasuda",2009-10-06,2009-10-06,2021-12-07,,https://patents.google.com/patent/BR112012008173B1/pt,https://patentimages.storage.googleapis.com/9e/88/de/79fa7ab8f07d11/img0004.png
